row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
5852,Have you ever felt pressured to be in a relationship?,relationships and dating,using outdated idioms,rizz-coded smooth talker,questions
5853,Don’t you miss the good times you had?,relationships and dating,passive-aggressive,doomer and nihilistic,questions
5854,Don’t you think that’s a little immature?,relationships and dating,passive-aggressive,main character vibes,questions
5855,Is it wise to ignore red flags in a relationship?,relationships and dating,unsolicited advice-giver,extremely overdramatic,questions
5856,You should learn to compromise in a relationship.,relationships and dating,full lecture mode,main character vibes,questions
5857,Isn't it nice to have someone to share your life with?,relationships and dating,nostalgic for the good old days,NPC brainrot,questions
5858,Are you sure you want to go out with him again?,relationships and dating,unsolicited advice-giver,unhinged chaos energy,questions
5859,Why not try dating someone a little older for more maturity?,relationships and dating,unsolicited advice-giver,extremely overdramatic,questions
5860,Isn't it too soon to be cynical?,relationships and dating,passive-aggressive,doomer and nihilistic,questions
5861,Isn't it time you stop playing games?,relationships and dating,passive-aggressive,main character vibes,questions
5862,What if you never find someone?,relationships and dating,confused by technology,doomer and nihilistic,questions
5863,Isn't it better to be friends first before dating?,relationships and dating,unsolicited advice-giver,extremely overdramatic,questions
5864,Don't let anyone manipulate your feelings.,relationships and dating,full lecture mode,main character vibes,questions
5865,Why do you think they ghosted you?,relationships and dating,confused by technology,doomer and nihilistic,questions
5866,You should really think about who you date.,relationships and dating,full lecture mode,main character vibes,questions
5867,Have you set any expectations for this relationship?,relationships and dating,formal and slightly stiff,deadpan sarcastic,questions
5868,How can you be so indifferent to romance?,relationships and dating,confused by technology,doomer and nihilistic,questions
5869,Have you ever thought about how much social media affects dating?,relationships and dating,nostalgic for the good old days,NPC brainrot,questions
5870,Don't you think trust is vital in any relationship?,relationships and dating,overly polite to the point of awkward,deadpan sarcastic,questions
5871,Do you think you're being too trusting?,relationships and dating,worried and concerned parent,ironic hype,questions
5872,Maybe it’s not the best time for a relationship.,relationships and dating,passive-aggressive,extremely overdramatic,questions
5873,Isn't it prudent to be honest about your past?,relationships and dating,overly polite to the point of awkward,deadpan sarcastic,questions
5874,Do you think people are too focused on looks in dating?,relationships and dating,nostalgic for the good old days,NPC brainrot,questions
5875,Always be clear about your expectations.,relationships and dating,full lecture mode,main character vibes,questions
5876,Have you talked about past relationships?,relationships and dating,worried and concerned parent,ironic hype,questions
5877,Are you being respectful towards each other in this relationship?,relationships and dating,overly polite to the point of awkward,deadpan sarcastic,questions
5878,Isn't it time to give up that fantasy?,relationships and dating,passive-aggressive,main character vibes,questions
5879,Have you considered the benefits of being open-minded in relationships?,relationships and dating,nostalgic for the good old days,NPC brainrot,questions
5880,Have you discussed how to handle conflicts?,relationships and dating,overly polite to the point of awkward,deadpan sarcastic,questions
5881,Are you ready to face potential heartbreak?,relationships and dating,formal and slightly stiff,deadpan sarcastic,questions
5882,Have you considered self-reflection for once?,relationships and dating,passive-aggressive,doomer and nihilistic,questions
5883,You might want to set some goals for your relationship.,relationships and dating,formal and slightly stiff,delulu and delusional optimism,questions
5884,What do you know about his past relationships?,relationships and dating,unsolicited advice-giver,unhinged chaos energy,questions
5885,Trust is essential between partners.,relationships and dating,formal and slightly stiff,delulu and delusional optimism,questions
5886,It's important to remember the special moments together.,relationships and dating,nostalgic for the good old days,deadpan sarcastic,questions
5887,When are you going to take things seriously?,relationships and dating,passive-aggressive,main character vibes,questions
